Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	C_1 Spectral Count	C_10 Spectral Count	C_11 Spectral Count	C_12 Spectral Count	C_13 Spectral Count	C_14 Spectral Count	C_15 Spectral Count	C_16 Spectral Count	C_17 Spectral Count	C_18 Spectral Count	C_19 Spectral Count	C_2 Spectral Count	C_3 Spectral Count	C_4 Spectral Count	C_5 Spectral Count	C_6 Spectral Count	C_7 Spectral Count	C_8 Spectral Count	C_9 Spectral Count	HCC_1 Spectral Count	HCC_10 Spectral Count	HCC_11 Spectral Count	HCC_12 Spectral Count	HCC_13 Spectral Count	HCC_14 Spectral Count	HCC_15 Spectral Count	HCC_16 Spectral Count	HCC_17 Spectral Count	HCC_18 Spectral Count	HCC_19 Spectral Count	HCC_2 Spectral Count	HCC_3 Spectral Count	HCC_4 Spectral Count	HCC_5 Spectral Count	HCC_6 Spectral Count	HCC_7 Spectral Count	HCC_8 Spectral Count	HCC_9 Spectral Count	C_1 Unique Spectral Count	C_10 Unique Spectral Count	C_11 Unique Spectral Count	C_12 Unique Spectral Count	C_13 Unique Spectral Count	C_14 Unique Spectral Count	C_15 Unique Spectral Count	C_16 Unique Spectral Count	C_17 Unique Spectral Count	C_18 Unique Spectral Count	C_19 Unique Spectral Count	C_2 Unique Spectral Count	C_3 Unique Spectral Count	C_4 Unique Spectral Count	C_5 Unique Spectral Count	C_6 Unique Spectral Count	C_7 Unique Spectral Count	C_8 Unique Spectral Count	C_9 Unique Spectral Count	HCC_1 Unique Spectral Count	HCC_10 Unique Spectral Count	HCC_11 Unique Spectral Count	HCC_12 Unique Spectral Count	HCC_13 Unique Spectral Count	HCC_14 Unique Spectral Count	HCC_15 Unique Spectral Count	HCC_16 Unique Spectral Count	HCC_17 Unique Spectral Count	HCC_18 Unique Spectral Count	HCC_19 Unique Spectral Count	HCC_2 Unique Spectral Count	HCC_3 Unique Spectral Count	HCC_4 Unique Spectral Count	HCC_5 Unique Spectral Count	HCC_6 Unique Spectral Count	HCC_7 Unique Spectral Count	HCC_8 Unique Spectral Count	HCC_9 Unique Spectral Count	C_1 Total Spectral Count	C_10 Total Spectral Count	C_11 Total Spectral Count	C_12 Total Spectral Count	C_13 Total Spectral Count	C_14 Total Spectral Count	C_15 Total Spectral Count	C_16 Total Spectral Count	C_17 Total Spectral Count	C_18 Total Spectral Count	C_19 Total Spectral Count	C_2 Total Spectral Count	C_3 Total Spectral Count	C_4 Total Spectral Count	C_5 Total Spectral Count	C_6 Total Spectral Count	C_7 Total Spectral Count	C_8 Total Spectral Count	C_9 Total Spectral Count	HCC_1 Total Spectral Count	HCC_10 Total Spectral Count	HCC_11 Total Spectral Count	HCC_12 Total Spectral Count	HCC_13 Total Spectral Count	HCC_14 Total Spectral Count	HCC_15 Total Spectral Count	HCC_16 Total Spectral Count	HCC_17 Total Spectral Count	HCC_18 Total Spectral Count	HCC_19 Total Spectral Count	HCC_2 Total Spectral Count	HCC_3 Total Spectral Count	HCC_4 Total Spectral Count	HCC_5 Total Spectral Count	HCC_6 Total Spectral Count	HCC_7 Total Spectral Count	HCC_8 Total Spectral Count	HCC_9 Total Spectral Count	C_1 Intensity	C_10 Intensity	C_11 Intensity	C_12 Intensity	C_13 Intensity	C_14 Intensity	C_15 Intensity	C_16 Intensity	C_17 Intensity	C_18 Intensity	C_19 Intensity	C_2 Intensity	C_3 Intensity	C_4 Intensity	C_5 Intensity	C_6 Intensity	C_7 Intensity	C_8 Intensity	C_9 Intensity	HCC_1 Intensity	HCC_10 Intensity	HCC_11 Intensity	HCC_12 Intensity	HCC_13 Intensity	HCC_14 Intensity	HCC_15 Intensity	HCC_16 Intensity	HCC_17 Intensity	HCC_18 Intensity	HCC_19 Intensity	HCC_2 Intensity	HCC_3 Intensity	HCC_4 Intensity	HCC_5 Intensity	HCC_6 Intensity	HCC_7 Intensity	HCC_8 Intensity	HCC_9 Intensity	Indistinguishable Proteins
sp|O95294|RASL1_HUMAN	O95294	RASL1_HUMAN	RASAL1	804	Homo sapiens	1:Experimental evidence at protein level	RasGAP-activating-like protein 1	1.0	0.999	3	11	11	11	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	1	829419.0	1471190.0	852677.2	1324266.6	688831.9	630497.44	809035.94	1581275.9	977941.94	464119.47	793943.3	1386285.9	1618587.0	457736.94	1192827.6	500465.1	1078870.4	698367.1	346984.84	365305.72	0.0	0.0	87475.39	0.0	711340.44	116670.36	0.0	120193.25	260965.5	1371468.4	322498.88	441768.22	874786.3	618540.6	285631.9	0.0	355133.47	259916.66	
sp|O95298|NDUC2_HUMAN	O95298	NDUC2_HUMAN	NDUFC2	119	Homo sapiens	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 subunit C2	1.0	0.9989	3	35	35	35	1	0	0	1	2	2	2	0	0	0	2	2	1	1	0	1	2	1	0	3	0	0	3	0	1	0	1	0	0	2	0	1	0	0	2	2	0	2	1	0	0	1	2	2	2	0	0	0	2	2	1	1	0	1	2	1	0	3	0	0	3	0	1	0	1	0	0	2	0	1	0	0	2	2	0	2	1	0	0	1	2	2	2	0	0	0	2	2	1	1	0	1	2	1	0	3	0	0	3	0	1	0	1	0	0	2	0	1	0	0	2	2	0	2	43643.207	85751.484	122161.11	177273.89	98676.26	127099.78	196330.89	59291.47	69333.27	27960.059	63166.16	341448.62	0.0	123735.91	0.0	65620.55	310010.06	0.0	22954.11	873023.75	50998.887	251349.0	462008.62	0.0	78311.086	319175.25	151084.38	0.0	0.0	894721.25	0.0	580516.1	109044.48	0.0	853452.0	349133.47	41622.387	292662.3	
sp|O95299|NDUAA_HUMAN	O95299	NDUAA_HUMAN	NDUFA10	355	Homo sapiens	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	1.0	0.999	6	100	100	100	2	4	2	4	3	2	3	5	2	3	3	3	2	2	2	3	2	3	4	2	2	2	3	2	2	2	2	2	1	2	2	3	4	2	5	4	1	3	2	4	2	4	3	2	3	5	2	3	3	3	2	2	2	3	2	3	4	2	2	2	3	2	2	2	2	2	1	2	2	3	4	2	5	4	1	3	2	4	2	4	3	2	3	5	2	3	3	3	2	2	2	3	2	3	4	2	2	2	3	2	2	2	2	2	1	2	2	3	4	2	5	4	1	3	2632301.8	6027112.0	2918874.8	3819387.8	3679941.5	2792658.2	1506066.9	4463905.0	3278075.2	1956371.2	2166458.2	2369101.5	1285923.1	588947.8	2376007.0	2940424.5	1581481.6	2827216.8	2874298.2	3576362.0	988591.25	2037354.8	3762911.8	2174646.8	2502870.8	1000306.8	877781.7	1381777.4	805708.7	2642387.2	2581412.5	9449016.0	8169646.5	1799021.4	4734713.0	4683565.5	539192.56	2264628.0	
sp|O95302|FKBP9_HUMAN	O95302	FKBP9_HUMAN	FKBP9	570	Homo sapiens	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase FKBP9	1.0	0.999	3	5	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	467592.72	1043987.25	0.0	0.0	0.0	0.0	0.0	0.0	242924.56	0.0	1893606.5	0.0	0.0	0.0	0.0	289390.2	0.0	0.0	0.0	
sp|O95336|6PGL_HUMAN	O95336	6PGL_HUMAN	PGLS	258	Homo sapiens	1:Experimental evidence at protein level	6-phosphogluconolactonase	1.0	0.999	10	173	173	173	6	6	4	2	4	3	4	4	5	4	3	4	5	7	6	6	4	6	5	7	3	5	3	4	5	6	5	2	5	5	3	5	5	6	4	3	5	4	6	6	4	2	4	3	4	4	5	4	3	4	5	7	6	6	4	6	5	7	3	5	3	4	5	6	5	2	5	5	3	5	5	6	4	3	5	4	6	6	4	2	4	3	4	4	5	4	3	4	5	7	6	6	4	6	5	7	3	5	3	4	5	6	5	2	5	5	3	5	5	6	4	3	5	4	1.4423745E7	1.4256998E7	6202688.5	6838894.0	8177908.5	9532421.0	5489604.0	9267697.0	1.0292289E7	6084400.5	7074069.0	1.0951125E7	7110160.0	4825730.5	7575677.5	1.0518942E7	8257974.0	1.3588422E7	1.0733488E7	2.100045E7	4485104.0	9504879.0	3771364.8	8480520.0	1.1670596E7	6553780.0	3380285.2	6612492.5	6053875.5	9727127.0	1.2575956E7	2.7060558E7	2.526251E7	1.3286121E7	1.0412676E7	7212011.0	1.2254808E7	5404153.0	
sp|O95340|PAPS2_HUMAN	O95340	PAPS2_HUMAN	PAPSS2	614	Homo sapiens	1:Experimental evidence at protein level	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2	1.0	0.999	16	131	131	131	0	9	4	5	5	7	5	5	1	9	17	2	4	6	7	4	3	3	1	2	0	0	2	0	4	3	2	1	5	0	0	2	0	3	2	0	4	4	0	9	4	5	5	7	5	5	1	9	17	2	4	6	7	4	3	3	1	2	0	0	2	0	4	3	2	1	5	0	0	2	0	3	2	0	4	4	0	9	4	5	5	7	5	5	1	9	17	2	4	6	7	4	3	3	1	2	0	0	2	0	4	3	2	1	5	0	0	2	0	3	2	0	4	4	1933884.1	1.9774226E7	3978681.0	4468134.0	8443221.0	6128261.5	4343285.0	4943245.0	5809792.0	3931720.8	1.6943832E7	4684461.0	3455895.5	2513189.2	5369224.5	3038647.8	5524830.0	7737088.5	1966766.1	6100613.0	545195.06	2035162.9	3237969.2	2294426.5	7921919.5	2999518.0	1198184.6	2059776.6	5369086.0	30580.135	4465782.0	7615405.0	2248602.8	3955276.2	3356996.2	1890125.1	5487661.5	3905237.0	
sp|O95342|ABCBB_HUMAN	O95342	ABCBB_HUMAN	ABCB11	1321	Homo sapiens	1:Experimental evidence at protein level	Bile salt export pump	1.0	0.999	7	27	27	27	0	1	0	0	0	0	1	0	0	1	1	3	4	0	0	0	6	0	0	0	0	0	0	1	0	1	0	0	0	0	4	0	0	0	0	4	0	0	0	1	0	0	0	0	1	0	0	1	1	3	4	0	0	0	6	0	0	0	0	0	0	1	0	1	0	0	0	0	4	0	0	0	0	4	0	0	0	1	0	0	0	0	1	0	0	1	1	3	4	0	0	0	6	0	0	0	0	0	0	1	0	1	0	0	0	0	4	0	0	0	0	4	0	0	0.0	1473082.9	174766.62	1218641.0	147554.42	307149.66	624240.0	0.0	0.0	471755.0	711168.06	2106283.5	666455.8	176159.16	0.0	0.0	1617223.6	0.0	734448.4	0.0	0.0	0.0	0.0	0.0	259572.5	561805.8	0.0	0.0	0.0	0.0	1260802.8	0.0	743359.5	0.0	0.0	1129608.9	208376.61	265378.44	
sp|O95359|TACC2_HUMAN	O95359	TACC2_HUMAN	TACC2	2948	Homo sapiens	1:Experimental evidence at protein level	Transforming acidic coiled-coil-containing protein 2	0.9549	0.9978	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	309405.1	139504.19	125258.36	122759.36	138790.73	0.0	0.0	255408.66	144288.14	187147.1	109676.266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90299.4	63859.395	0.0	199738.48	57746.88	51524.453	0.0	242233.0	0.0	277949.75	0.0	194933.31	126409.516	0.0	203004.92	0.0	95027.44	
sp|O95363|SYFM_HUMAN	O95363	SYFM_HUMAN	FARS2	451	Homo sapiens	1:Experimental evidence at protein level	Phenylalanine--tRNA ligase, mitochondrial	0.9994	0.999	3	7	7	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0.0	0.0	0.0	0.0	0.0	205260.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	321599.1	0.0	167632.75	217229.69	0.0	173053.92	279840.47	119513.46	124488.34	129358.21	56501.395	302374.62	301125.75	0.0	266541.6	0.0	225936.2	308472.75	121692.43	
sp|O95372|LYPA2_HUMAN	O95372	LYPA2_HUMAN	LYPLA2	231	Homo sapiens	1:Experimental evidence at protein level	Acyl-protein thioesterase 2	1.0	0.999	2	41	41	41	1	1	0	2	1	1	1	1	2	1	1	1	0	0	2	1	0	1	1	1	2	0	0	2	2	1	1	1	1	0	2	3	2	0	2	1	1	1	1	1	0	2	1	1	1	1	2	1	1	1	0	0	2	1	0	1	1	1	2	0	0	2	2	1	1	1	1	0	2	3	2	0	2	1	1	1	1	1	0	2	1	1	1	1	2	1	1	1	0	0	2	1	0	1	1	1	2	0	0	2	2	1	1	1	1	0	2	3	2	0	2	1	1	1	628787.4	2166307.5	468184.78	265761.62	626961.3	857726.25	174903.92	844300.1	1278177.8	277339.06	344758.34	348086.44	0.0	0.0	0.0	610266.8	0.0	896587.7	778133.1	619499.4	650976.75	378106.8	0.0	661871.5	667435.1	486314.6	301908.75	288861.16	455250.44	444928.62	811716.1	3843507.0	2921298.5	162742.53	369813.56	1028358.0	1022386.94	203158.98	
sp|O95373|IPO7_HUMAN	O95373	IPO7_HUMAN	IPO7	1038	Homo sapiens	1:Experimental evidence at protein level	Importin-7	1.0	0.999	11	49	49	49	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	4	5	3	3	0	0	2	4	2	0	6	0	8	1	0	0	4	2	2	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	4	5	3	3	0	0	2	4	2	0	6	0	8	1	0	0	4	2	2	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	4	5	3	3	0	0	2	4	2	0	6	0	8	1	0	0	4	2	2	0.0	485302.06	271676.7	131798.0	315911.53	736071.44	225550.16	0.0	172140.66	61877.645	450262.12	447129.62	236373.38	182472.58	0.0	0.0	0.0	0.0	43105.434	2657694.8	3110034.2	1907268.5	1644819.8	945014.94	685338.4	1054353.4	1007789.5	804116.9	356046.53	3144835.5	694852.25	9398575.0	1400229.8	0.0	961190.1	1720309.9	647985.9	3899460.8	
sp|O95376|ARI2_HUMAN	O95376	ARI2_HUMAN	ARIH2	493	Homo sapiens	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase ARIH2	0.907	0.9989	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	171153.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O95379|TFIP8_HUMAN	O95379	TFIP8_HUMAN	TNFAIP8	198	Homo sapiens	1:Experimental evidence at protein level	Tumor necrosis factor alpha-induced protein 8	0.9996	0.999	1	11	11	11	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	1	125568.695	0.0	0.0	0.0	0.0	246607.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153172.16	23480.678	0.0	0.0	51321.742	186246.92	54333.59	0.0	226348.28	0.0	341026.8	0.0	0.0	0.0	0.0	0.0	150299.17	456331.8	142032.02	
sp|O95394|AGM1_HUMAN	O95394	AGM1_HUMAN	PGM3	542	Homo sapiens	1:Experimental evidence at protein level	Phosphoacetylglucosamine mutase	1.0	0.999	9	131	131	131	3	4	4	3	5	3	7	6	3	3	4	6	3	2	3	6	1	6	3	1	0	11	1	5	2	2	5	1	3	3	3	1	6	1	2	5	2	2	3	4	4	3	5	3	7	6	3	3	4	6	3	2	3	6	1	6	3	1	0	11	1	5	2	2	5	1	3	3	3	1	6	1	2	5	2	2	3	4	4	3	5	3	7	6	3	3	4	6	3	2	3	6	1	6	3	1	0	11	1	5	2	2	5	1	3	3	3	1	6	1	2	5	2	2	3097952.8	6287520.5	2378145.2	2799549.8	2328237.0	3851640.8	2127602.5	5503850.0	3020240.2	1414673.6	2420717.8	3320321.8	738459.6	493587.2	1514653.4	2986378.0	1605258.6	4913721.0	2298065.2	1068147.1	445569.06	1.363736E7	263409.06	2911482.2	2492934.5	751974.44	1576943.5	1117770.0	1731638.2	1497489.0	2885693.5	4278208.5	1.0609251E7	985406.0	788948.5	3380503.0	1500819.8	1591162.5	
sp|O95396|MOCS3_HUMAN	O95396	MOCS3_HUMAN	MOCS3	460	Homo sapiens	1:Experimental evidence at protein level	Adenylyltransferase and sulfurtransferase MOCS3	1.0	0.999	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1081586.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	250620.52	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O95425|SVIL_HUMAN	O95425	SVIL_HUMAN	SVIL	2214	Homo sapiens	1:Experimental evidence at protein level	Supervillin	1.0	0.999	6	13	13	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	1	1	0	4	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	1	1	0	4	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	1	1	0	4	0	0	1	0.0	0.0	95339.516	58930.61	0.0	0.0	0.0	228164.64	53829.617	104435.05	0.0	0.0	0.0	0.0	64073.246	0.0	0.0	0.0	0.0	2348049.2	0.0	0.0	0.0	102525.52	0.0	292869.3	0.0	426966.94	115205.13	216044.33	0.0	582451.8	649804.2	0.0	1556092.2	86241.66	0.0	191096.86	
sp|O95433|AHSA1_HUMAN	O95433	AHSA1_HUMAN	AHSA1	338	Homo sapiens	1:Experimental evidence at protein level	Activator of 90 kDa heat shock protein ATPase homolog 1	1.0	0.999	6	45	45	45	2	0	1	0	1	2	1	0	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	0	1	3	3	3	1	2	0	1	0	1	2	1	0	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	0	1	3	3	3	1	2	0	1	0	1	2	1	0	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	0	1	3	3	3	1	1739003.5	2224044.0	582437.0	961406.75	1362683.9	2239194.0	888724.6	831408.6	965370.75	451504.5	1147487.4	2200331.5	892389.1	737069.1	574451.6	1271856.8	1514597.4	2019878.4	881827.4	3339355.2	2945702.5	3543637.2	3722095.0	2254772.5	1794132.5	2841805.8	1177982.9	1773043.8	1606415.1	2443259.2	3712675.0	3388178.2	5024556.5	1214989.2	2549067.0	3807378.0	2996761.8	2724665.5	
sp|O95456|PSMG1_HUMAN	O95456	PSMG1_HUMAN	PSMG1	288	Homo sapiens	1:Experimental evidence at protein level	Proteasome assembly chaperone 1	0.9995	0.999	2	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	136221.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40268.492	0.0	0.0	0.0	0.0	0.0	245038.66	37580.875	626504.94	124418.21	250258.44	0.0	89803.445	68525.68	0.0	0.0	156097.39	178712.3	479035.1	962354.1	0.0	155319.14	549928.3	207810.67	136509.64	
sp|O95470|SGPL1_HUMAN	O95470	SGPL1_HUMAN	SGPL1	568	Homo sapiens	1:Experimental evidence at protein level	Sphingosine-1-phosphate lyase 1	1.0	0.999	6	25	25	25	0	0	0	0	0	3	1	0	0	0	0	2	3	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	5	1	1	1	1	0	1	1	0	0	0	0	0	3	1	0	0	0	0	2	3	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	5	1	1	1	1	0	1	1	0	0	0	0	0	3	1	0	0	0	0	2	3	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	5	1	1	1	1	0	1	1	0.0	0.0	227345.34	0.0	296322.47	1117988.4	200285.73	0.0	0.0	0.0	190693.84	676091.25	102676.2	54680.18	0.0	0.0	284580.7	0.0	0.0	359979.62	462401.7	0.0	0.0	411260.1	357556.8	666395.06	0.0	164055.5	0.0	591228.6	2609765.8	1216324.0	1663194.2	70153.97	139074.3	345376.5	120466.02	585614.2	
sp|O95479|G6PE_HUMAN	O95479	G6PE_HUMAN	H6PD	791	Homo sapiens	1:Experimental evidence at protein level	GDH/6PGL endoplasmic bifunctional protein	1.0	0.999	26	493	493	493	15	22	17	9	23	19	18	9	26	13	23	15	14	12	15	18	15	18	5	6	1	12	3	22	10	15	3	6	5	0	19	9	19	14	17	7	12	7	15	22	17	9	23	19	18	9	26	13	23	15	14	12	15	18	15	18	5	6	1	12	3	22	10	15	3	6	5	0	19	9	19	14	17	7	12	7	15	22	17	9	23	19	18	9	26	13	23	15	14	12	15	18	15	18	5	6	1	12	3	22	10	15	3	6	5	0	19	9	19	14	17	7	12	7	3.135635E7	5.0184352E7	2.0490708E7	1.059355E7	3.3693676E7	3.6765472E7	1.2732426E7	1.5347739E7	3.307385E7	1.12282E7	3.5747384E7	2.626583E7	1.5110347E7	6054699.5	1.7150736E7	2.6308258E7	1.9460676E7	3.1366132E7	5087881.0	9195532.0	2286877.2	2.0426242E7	2397892.2	3.1589652E7	1.4880647E7	1.2112983E7	1631142.4	6097090.0	7560518.5	56412.375	4.3198408E7	2.4763168E7	5.77678E7	2.0250354E7	2.1612622E7	7947829.0	1.5214552E7	6778936.0	
sp|O95486|SC24A_HUMAN	O95486	SC24A_HUMAN	SEC24A	1093	Homo sapiens	1:Experimental evidence at protein level	Protein transport protein Sec24A	1.0	0.999	11	95	92	95	1	2	2	1	3	3	2	1	1	3	2	4	2	4	3	1	3	2	1	1	0	6	4	2	3	4	5	1	3	1	3	4	4	3	2	2	3	3	1	2	2	1	3	3	2	1	1	3	2	4	2	4	3	1	3	2	1	1	0	6	4	2	2	4	3	1	3	1	3	4	4	3	2	2	3	3	1	2	2	1	3	3	2	1	1	3	2	4	2	4	3	1	3	2	1	1	0	6	4	2	3	4	5	1	3	1	3	4	4	3	2	2	3	3	833172.75	2747605.0	546601.1	970398.44	1935177.9	3313785.8	737393.9	588836.9	805546.0	1011816.3	689257.0	2212630.8	476398.7	721821.25	294968.97	1063585.4	1076793.5	953407.6	465848.72	702440.06	1278876.4	3431442.0	2604930.5	1223484.6	2978405.0	2231865.0	1558079.6	312480.1	1462364.8	387498.5	4787557.5	8776694.0	5840263.5	891951.06	1347779.0	5227851.0	2077870.9	991634.75	
sp|O95487|SC24B_HUMAN	O95487	SC24B_HUMAN	SEC24B	1268	Homo sapiens	1:Experimental evidence at protein level	Protein transport protein Sec24B	1.0	0.999	10	49	49	52	0	2	2	0	2	2	1	2	1	2	1	2	1	1	0	0	1	0	0	1	0	8	2	1	3	2	2	1	3	0	1	1	0	1	1	1	0	1	0	2	2	0	2	2	1	2	1	2	1	2	1	1	0	0	1	0	0	1	0	8	2	1	3	2	2	1	3	0	1	1	0	1	1	1	0	1	0	2	2	0	2	2	1	2	1	2	1	2	1	1	0	0	1	0	0	1	0	8	2	1	4	2	4	1	3	0	1	1	0	1	1	1	0	1	132757.77	1486954.4	413723.94	431940.34	525743.25	759755.25	147436.61	224488.4	357447.8	185711.27	888066.4	440855.2	289584.5	84681.13	0.0	158842.97	441731.25	0.0	0.0	0.0	0.0	4511581.0	828305.2	153541.12	856844.75	363541.72	186860.05	255346.0	983360.4	283903.8	251597.77	2965570.8	455424.06	852446.6	147923.8	0.0	0.0	457784.5	
