Protein,Gene,Protein Length,Organism,Description,C_1 ,C_10 ,C_11 ,C_12 ,C_13 ,C_14 ,C_15 ,C_16 ,C_17 ,C_18 ,C_19 ,C_2 ,C_3 ,C_4 ,C_5 ,C_6 ,C_7 ,C_8 ,C_9 ,HCC_1 ,HCC_10 ,HCC_11 ,HCC_12 ,HCC_13 ,HCC_14 ,HCC_15 ,HCC_16 ,HCC_17 ,HCC_18 ,HCC_19 ,HCC_2 ,HCC_3 ,HCC_4 ,HCC_5 ,HCC_6 ,HCC_7 ,HCC_8 ,HCC_9 
O00148,DDX39A,427,Homo sapiens,ATP-dependent RNA helicase DDX39A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567694.5,2929876.5,1987407,1981020,0,0,89305.9,325475.34,107934.6,0,122985.83,0,8505107,1394455.8,0,262835.3,1028710.5,0,258055.67
O00151,PDLIM1,329,Homo sapiens,PDZ and LIM domain protein 1,2.2476E7,2.1669914E7,1.823079E7,5287633,1.1163976E7,2.0976636E7,5940700.5,1.3731451E7,8886717,5211729,1.3304101E7,1.586113E7,7596692.5,5003329.5,1.0018518E7,1.759354E7,8594240,1.5976398E7,8372509.5,1.491249E7,1.1246601E7,1.0359516E7,1.1562504E7,1.8397548E7,1.7055544E7,1.3974853E7,4354778.5,2.0462396E7,9995527,2507356,1.5390698E7,4.9591704E7,1.18189848E8,1.8372834E7,8791024,1.4384085E7,1.8488192E7,9488667
O00154,ACOT7,380,Homo sapiens,Cytosolic acyl coenzyme A thioester hydrolase,9355900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3161230,3372772.2,0,1878194.1,0,0,0,0,0,0,0,0,1734197.5,0,274176.84,0,0,0,0,0,0
O00159,MYO1C,1063,Homo sapiens,Unconventional myosin-Ic,5473760,4526498,4452339.5,3053695.5,3628805,6124777,2077306.6,2616220.5,2876813,1512812.8,3458374.8,5456861,3285883.2,2718948.5,1196340.1,4218999.5,4060535,2877533.2,2159505.2,1.8269006E7,2654238,2146432.2,2026923.2,4253861.5,5173451,4130935.8,2181614.8,1.2051612E7,3582122.5,9850484,6892355,3.0228272E7,7607097,4133832.8,6523061.5,5938250.5,1988902.4,6177655.5
O00161,SNAP23,211,Homo sapiens,Synaptosomal-associated protein 23,0,0,0,0,48816.082,0,124139.04,0,0,0,68003.1,0,194800.72,86480.54,0,0,306049.94,0,0,1176557,1465482.2,253871.36,204820.94,321880.34,186167.05,566426.2,115725.59,188925.66,50499.492,413924.62,491219.16,2493705.5,0,0,349302.22,505089.53,84916.43,760830.9
O00165,HAX1,279,Homo sapiens,HCLS1-associated protein X-1,1720365.4,0,0,0,0,0,0,0,0,0,0,0,0,0,128591.77,822724.5,0,0,255569.47,0,552891.8,910652.56,0,0,0,0,0,0,0,31786.47,0,952155.06,0,0,0,84857.04,0,0
O00170,AIP,330,Homo sapiens,AH receptor-interacting protein,503299.6,489993.06,174275.16,18770.148,179812.7,892323.3,290599.5,0,160667.23,37233.637,358567.2,336794.94,191791.52,174385.58,169300.31,262922.78,606695.6,516326.1,143228.62,1953759,1604354.6,1381515.5,533199.5,415046.16,802942.25,400546.1,310117.75,775309.25,519064.12,968344,1054688.2,1682590,1514999.5,486562.53,725636.5,826572.1,1103006.8,521655.3
O00178,GTPBP1,669,Homo sapiens,GTP-binding protein 1,0,0,0,537302.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412469.38,0,0,0,0,0,0,1665394,0,491800.88,0,367464.06,0,203447.72
O00182,LGALS9,355,Homo sapiens,Galectin-9,318167.3,679798.06,0,0,405082.03,202472.97,62638.496,0,160664.56,0,170713.84,0,0,154119.77,0,82741.92,142024.17,210558.58,0,602633.6,0,0,169292.11,260134.22,205729.56,266083.6,0,365847.3,0,523036.53,0,446061.72,0,0,0,680898.94,323103.22,165330.73
O00186,STXBP3,592,Homo sapiens,Syntaxin-binding protein 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304888.75,0,0,0,0,0,83838.945,100664.52,0,0,127193.47,0,0,0,0,0,0,0,0
O00193,SMAP,183,Homo sapiens,Small acidic protein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364283.97,1282942.8,1733083.5,109928.766,375381.03,0,0,122899.945,0,0,0,479761.25,6932562,2154513,0,0,398697.62,235884.75,0
O00203,AP3B1,1094,Homo sapiens,AP-3 complex subunit beta-1,0,0,0,0,0,130352.09,0,0,0,0,0,200393.8,0,179340.38,0,0,0,0,0,2821856,1455598.6,2456786.8,638883.8,815424.9,0,1218605.5,59370.453,751030.75,404782.12,4202872.5,727715,8463930,3535628.8,82980.27,632841.56,3348976.8,1100506.2,1039471.75
O00214,LGALS8,317,Homo sapiens,Galectin-8,0,0,0,0,0,0,0,0,285649.12,0,0,0,0,0,0,0,0,0,0,0,395083.1,567154.25,83063.64,543524.2,191290.48,235010.17,98402.984,0,269622.72,0,0,501728.28,2317896.2,334251.12,0,0,0,0
O00217,NDUFS8,210,Homo sapiens,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",2992784,1927279.9,1341409.9,1484096,2218151.5,1689305,726222.5,1427154.4,1117238.1,703369.75,253948.12,1814866.2,906993.2,765547.25,2054877.5,2342512,1063043.1,1009411.9,3615690.2,3321778,477539.16,1429343.5,1793433.8,1429606.8,938980.5,133080.84,301927.12,913181.44,353027.84,3013738.2,275172.72,725397.9,2820349.5,694255.1,3700402.8,2394193.8,713051.56,1191666.2
O00231,PSMD11,422,Homo sapiens,26S proteasome non-ATPase regulatory subunit 11,9557542,1.0899761E7,4796488,6355346.5,5836414.5,6679639,3979139,7781615.5,6854860,4001296,6892331.5,7091926.5,3711460.8,3238452.5,6183187,8723862,5213268,7634655.5,4796451,1.1977735E7,6242474.5,1.5034661E7,5708956.5,7029796.5,7408149,4838692,2897500.5,4741608.5,5918981,1.2194116E7,1.130365E7,1.814499E7,1.5397602E7,5351957,6533082,7227391.5,5837251.5,4572860
O00232,PSMD12,456,Homo sapiens,26S proteasome non-ATPase regulatory subunit 12,1565590.6,4199551.5,1219030.4,1947693.9,1825442.8,2182861.2,513087.94,3477921.2,2165641.8,1238982.8,2256996.5,2802608.5,695870,522826.38,1457610.5,1608501,248369.23,2624787.5,1252660.5,6643556.5,3203051.2,4711943.5,1907868.8,2870240.5,1334386.4,1879257.8,1693305.8,1780136.2,1714829.9,8158217,4281630.5,1.1674383E7,8303870.5,1329641.4,2443855.5,2656822.2,1722318.5,1671006.8
O00233,PSMD9,223,Homo sapiens,26S proteasome non-ATPase regulatory subunit 9,0,0,0,0,0,0,0,0,0,0,0,0,376164.62,0,0,0,0,0,0,0,0,0,0,0,0,0,181980.77,0,0,791835.94,0,0,0,0,0,0,0,0
O00244,ATOX1,68,Homo sapiens,Copper transport protein ATOX1,880559.5,467599.88,152072.98,177528.08,344199.38,512290.66,234884.47,225908.94,365224.84,164145.81,267527.22,514065.2,279407.53,146983.88,525554.75,369126.5,424994.28,613148.5,416598.2,1311830.2,645842.5,834383.3,354918.94,825341.94,595849.4,886988.5,266133.9,377572.12,215319.03,1024722.4,1225513.6,697503.8,3435701.5,392740.34,390552.25,1299715.6,434549.22,407843.8
O00264,PGRMC1,195,Homo sapiens,Membrane-associated progesterone receptor component 1,3.91832E7,2.756646E7,2.897459E7,1.6471693E7,3.20915E7,3.3631728E7,2.2548156E7,1.5064749E7,2.5000626E7,1.0277422E7,1.4469878E7,3.026157E7,1.8160892E7,7681415,2.3416022E7,1.9006314E7,2.4708876E7,2.7957872E7,1.0185477E7,2.2058308E7,5076398,1.3320795E7,5773686.5,5.794262E7,3.092902E7,5716055.5,3450749.5,8947464,1.3903456E7,1775425,8.5461752E7,8348340,6.958228E7,1.9382576E7,9970806,2.4733028E7,2.79621E7,2.0777344E7
O00267,SUPT5H,1087,Homo sapiens,Transcription elongation factor SPT5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982448.6,347344.28,3255691.5,0,0,0,41651.023,0,748051.56,0,0,0,5774343.5,0,0,0,0,0,0
O00273,DFFA,331,Homo sapiens,DNA fragmentation factor subunit alpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238389.22,0,0,0,0,0,0,0,0,405669.3,0,0,0,0,0,0,0,0
O00291,HIP1,1037,Homo sapiens,Huntingtin-interacting protein 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840550.1,293415.66,0,0,0,0,0,0,165929.02,296332.16,126891.45,0,816530.44,980961.6,342904.7,0,0,0,0
O00299,CLIC1,241,Homo sapiens,Chloride intracellular channel protein 1,1.3834361E7,2.66067E7,9226150,8252217,1.4303435E7,2.8873826E7,6381280.5,8724241,9010819,5094408,1.0409699E7,1.3545092E7,7398343,8141038,5799663,7929999,8040122.5,1.2625915E7,6309981,3.7337684E7,3.8361796E7,6835996.5,2.1187666E7,2.5682264E7,2.06482E7,1.6872134E7,8940979,2.4447374E7,1.2740096E7,2.1428112E7,3.6821124E7,6.3417976E7,4.5696328E7,2.2692852E7,2.0106214E7,2.8374792E7,2.1891138E7,1.7534764E7
O00303,EIF3F,357,Homo sapiens,Eukaryotic translation initiation factor 3 subunit F,2529429.8,360665,437603.88,431768.8,274248.1,2023077.4,217530.6,3181339.8,516614.38,131020.38,1037538.94,1606349.2,376971.47,236969.77,653484.9,2075006.9,625175.5,2716874.8,2341809.2,3477056.2,4864873,3682987.5,2966381.5,3728975,2230141,2379895.5,2662644,713652.8,577154.25,3402495.5,3021706,9849799,4750021.5,1421808.2,1760107.8,5410053.5,1425155,2480621.2
